object_tag,num_obj,percentAGN,error
6843.0,21.0,9.524,7.048
6848.0,12.0,16.667,12.729
6857.0,19.0,89.474,29.871
6876.0,21.0,0.0,0.0
6880.0,24.0,0.0,0.0
6882.0,22.0,0.0,0.0
6911.0,11.0,27.273,17.764
6914.0,7.0,28.571,22.908
6923.0,24.0,0.0,0.0
6928.0,21.0,0.0,0.0
6934.0,21.0,0.0,0.0
6941.0,18.0,0.0,0.0
6968.0,4.0,25.0,27.951
6984.0,23.0,0.0,0.0
6990.0,22.0,0.0,0.0
6998.0,20.0,0.0,0.0
7010.0,24.0,0.0,0.0
7035.0,22.0,0.0,0.0
7042.0,5.0,60.0,43.818
7061.0,5.0,20.0,21.909
7112.0,5.0,40.0,33.466
7113.0,22.0,4.545,4.648
7126.0,5.0,100.0,0.0
7132.0,22.0,4.545,4.648
7133.0,23.0,4.348,4.441
7139.0,23.0,4.348,4.441
7144.0,23.0,0.0,0.0
7150.0,21.0,0.0,0.0
7172.0,5.0,40.0,33.466
7174.0,21.0,0.0,0.0
7177.0,21.0,0.0,0.0
7186.0,12.0,25.0,16.137
7199.0,22.0,0.0,0.0
7200.0,10.0,10.0,10.488
7202.0,21.0,4.762,4.874
7204.0,16.0,18.75,11.797
7212.0,23.0,0.0,0.0
7219.0,23.0,0.0,0.0
7221.0,13.0,15.385,11.685
7227.0,22.0,0.0,0.0
7246.0,20.0,5.0,5.123
7266.0,9.0,22.222,17.372
7280.0,24.0,0.0,0.0
7286.0,23.0,8.696,6.411
7307.0,4.0,25.0,27.951
7309.0,21.0,0.0,0.0
7311.0,21.0,4.762,4.874
7313.0,24.0,0.0,0.0
7315.0,24.0,0.0,0.0
7330.0,22.0,0.0,0.0
7335.0,4.0,0.0,0.0
7350.0,21.0,0.0,0.0
7428.0,23.0,0.0,0.0
7485.0,23.0,0.0,0.0
7488.0,22.0,0.0,0.0
7490.0,25.0,4.0,4.079
7498.0,25.0,0.0,0.0
7519.0,19.0,5.263,5.4
7528.0,22.0,4.545,4.648
7535.0,23.0,0.0,0.0
7550.0,23.0,0.0,0.0
7557.0,15.0,26.667,15.006
