NSAID,RA
5862,171.06258516457572
5864,171.6742125277914
5887,171.8523448520589
5894,171.98375519074852
5916,172.45944402132332
5921,172.45004583077258
5926,172.08038974660664
5927,172.2326914619859
5928,172.26087554514783
5932,172.68004323373617
5939,172.662556052816
5944,172.47256932857698
5951,172.567073570725
5967,173.19193074167003
5981,173.26108314894714
5991,174.75824095621428
5994,174.88368216753582
5998,174.94845722301048
6022,174.54078580697944
6028,174.76389681905474
6032,174.98643502030816
6036,173.97211301254393
6039,174.07996973328744
6067,174.1326310115562
6078,173.95706100378845
6080,174.06181051380722
6095,173.55679617754572
6096,173.4531383690134
6102,173.0603737566693
6114,172.98875763872655
6122,172.83269538895237
6136,173.06087622342855
6144,172.77473764227744
6157,173.3010768605744
6159,173.17682681590398
6160,173.23829960122148
6166,172.7930030160424
6169,173.43218684016227
6170,173.43052021171962
6175,173.36052039647112
6181,173.40152176701562
6193,173.6021604461204
6194,173.82069103999893
6195,173.70053449045795
6201,173.54925663702764
6209,173.73226017868805
6223,173.8720044741827
6230,174.18494069080808
6233,174.1419023782133
6234,174.29010710563745
6237,174.28417411058146
6247,174.4452674922054
6275,175.19226347968632
6279,175.13296099971427
6298,177.41109542976213
6300,177.329476122947
6314,176.70725326304296
6321,176.9766079454178
6332,176.3421150948402
6334,176.43733176686726
6357,176.16031226226346
6383,176.2561238310916
6392,176.00380180147152
6396,175.82496242475335
6401,175.73601484519807
6403,175.52436236842672
6408,175.64522530983243
6415,175.33818727301778
6423,175.43607710413372
6427,175.4577755223999
6431,175.37766877205894
6442,175.18835734096223
6445,175.07726928784965
6458,175.12682583674894
6459,174.66604218078928
6463,175.34225754431904
6469,175.33328999819156
6472,175.15251107083247
6487,175.54379512240652
6522,176.25231320409495
6525,176.3983673675789
6530,176.6316589642861
6543,176.2091120033805
6546,176.04454892896965
6550,176.91333708214867
6551,176.93619712798963
6556,176.76186968954252
6560,176.70557194417972
6563,176.77502945699396
6565,177.07067286683883
6573,177.11464457611643
6581,177.0609627196637
6585,176.89796587953114
6591,177.23818889854593
6595,177.24073708099374
6600,178.99671697340554
6619,179.08794937739592
6633,178.79525979601624
6637,178.95101538388172
6664,178.87605742281323
6666,178.7419057682426
6676,178.60782090191776
6681,178.49086524989974
6684,178.46791827714912
6694,178.22622561685583
6710,178.08107464627815
6716,177.65914054398138
6734,177.76358007199266
6737,177.9729285003937
6741,177.3506440932209
6753,177.59257862768945
6762,177.62041888481264
6775,177.3154331745593
6788,177.35888088191288
6793,177.29754460403566
6797,176.93473011219393
6801,177.44420558499118
6807,177.6420174526718
6811,177.7047878763179
6828,177.887764215377
6840,177.83797305857712
6843,177.96799739903614
6848,178.01376693094383
6857,177.96707814731286
6859,178.1816430395992
6876,178.49960583311227
6877,178.48217039872128
6880,178.5614187794557
6882,178.54292221580235
6883,178.60853300647992
6911,178.5090032287601
6914,179.0705332518033
6923,179.20854594139487
6928,179.02928666472852
6934,179.00241625823682
6941,179.2688782797297
6968,180.04638396800294
6984,180.62242917963968
6990,180.53523430554253
6998,179.9634578764205
7010,180.27802455929583
7035,180.01786611930973
7042,179.9960343575905
7061,179.36497214775605
7112,179.1441073339731
7113,178.8958966056501
7126,179.2426725526762
7132,179.02830673696278
7133,179.18882261148605
7139,178.91614741199544
7144,179.40256354261885
7150,179.38111138319204
7156,179.44328753003347
7172,179.6089071473432
7174,179.64555965606502
7177,179.51257098519798
7186,179.5857977498045
7199,179.8429564631897
7200,179.64666237753335
7202,179.80277145612328
7204,179.69036227846533
7212,179.67631177629332
7219,179.93477052228107
7221,179.91578533262685
7227,179.90956037423555
7246,179.93687874526947
7266,180.239515303586
7280,180.3759317942496
7286,180.3935708462489
7307,180.8962878496945
7309,181.02716400635208
7311,180.6574840066156
7313,180.72412578824503
7315,182.39683259411265
7330,182.6762759837244
7335,182.0936609959998
7348,182.33191720228376
7350,182.4697216770763
7390,181.6937882071697
7428,181.29002541781367
7485,180.6579932973657
7488,180.3080442213113
7490,180.27376940902087
7498,180.09967936499274
7519,180.52652586085395
7528,180.96758552652688
7534,181.0408079762552
7535,180.9515810788111
7537,181.0947531815516
7550,181.2608837981697
7557,181.3787383010645
7565,181.3727771025972
7566,181.2573005330977
7572,181.26548880990663
7573,181.51268138630053
7575,181.5245120554984
7581,181.45547870843808
7583,181.79711234981565
7588,181.74917325077453
7605,182.00640119702567
7608,181.9263329468351
7615,182.118722110988
7622,181.8559272782827
7623,181.8772427212528
7624,181.84212497472373
7625,181.82414184986905
7637,182.42503301475108
7640,182.20695047937497
7644,182.27584204787664
7647,182.564298788804
7659,182.5519562278346
7677,184.4684941294601
7678,184.6279073727854
7681,184.376665780523
7683,183.9019288838533
7687,183.91665788621697
7688,184.0771491354021
7690,183.8179532626837
7691,183.8624271293812
7696,184.04265869613656
7702,183.82603946194828
7708,183.59911774013565
7719,184.01945332736943
7722,184.04783051555617
7728,183.4385673977249
7754,183.1133712898252
7767,183.2109612771281
7772,182.8969966973885
7775,183.01383011497808
7776,183.0018611605252
7785,182.7407088154528
7790,182.508635374532
7793,182.5066884261646
7794,182.4773892468124
7797,182.1968320843435
7817,181.9027936232393
7821,182.09801166558776
7824,182.5271574950253
7832,182.13046858137463
7837,182.47121440859968
7855,182.8087618584044
7868,183.231004454422
7878,183.02983523937752
7880,183.0802375532793
7884,183.343508681766
7890,183.307299267017
7903,183.41486980505127
7907,183.41621607489984
7910,183.57260634456173
7912,183.9201944947923
7933,184.0516070750357
7935,184.1892417681439
7938,184.2879392995985
7939,184.01864454416463
7941,184.0142915483684
7950,184.61131479145607
7959,185.6426250436972
7960,185.68664972643785
7961,185.6353524311861
7962,186.05674861501103
7971,186.24518468154653
7975,185.30109799911764
7981,185.38204427673813
7982,185.3039568263829
7983,185.2543635671064
7984,185.24743024492432
7985,185.1967224205282
7987,185.39861723474635
7999,185.29548600016307
8003,185.1786469576347
8017,185.05054795270152
8020,185.081747798052
8021,184.835914135833
8022,184.89718927642312
8025,184.83987376017865
8026,184.8808282624768
8027,184.91720756419403
8029,184.8369032591476
8030,184.8523928342757
8038,184.6407292744376
8040,184.74308840026524
8043,184.9442728636811
8057,184.5455257626836
8070,184.3880842443876
8076,183.9729350563767
8078,184.2854830550542
8081,184.26029335967053
8082,184.0479699681637
8093,183.8120130869065
8096,183.5520061649096
8113,183.55890435437183
8124,184.61100045233985
8126,184.55287731777287
8130,184.5659406085615
8132,184.45014543153252
8135,184.2216136459752
8138,183.8518167288159
8140,183.9735299106307
8144,184.82352876536223
8146,184.6728678914764
8148,184.84232899927943
8150,184.73929280431784
8151,184.68921753229296
8154,184.5138174135164
8163,185.074369173433
8167,184.96544511613723
8168,184.95094224202865
8170,185.02575564513344
8171,184.75334003023443
8173,184.78928485906965
8178,184.76518127905183
8184,184.8487978895876
8195,185.229082981635
8199,185.22388222247545
8201,185.2119941534561
8203,185.0933062336963
8212,185.4329316895684
8215,185.700532622564
8217,185.6016427193019
8221,185.67777009813403
8234,185.99142801034307
8236,185.6171448345128
8242,185.61151433607145
8248,186.14686334093864
8252,185.98075048297977
8254,186.2434701984759
8255,185.8996309138655
8258,187.8268550532904
8259,187.5734380539213
8260,187.9731796017033
8267,187.81652970032223
8280,187.53171288267663
8281,187.27971766893543
8282,187.55452358245427
8293,187.6779441677543
8298,187.6396012911088
8300,187.17475574576537
8301,187.15063005527367
8304,187.24384997626248
8305,187.1317410730824
8306,187.15845241711168
8308,187.2118539617844
8317,187.07186265584824
8318,186.85962193527124
8319,187.0863631219095
8320,186.9310986159157
8321,186.8439450159769
8325,187.1529425178492
8329,186.9835140443976
8332,186.90156201078645
8341,186.86542697802332
8347,186.51651367859145
8348,186.5419587934515
8349,186.5145035720894
8350,186.47761235159012
8358,185.6272107116246
8360,185.57170539523983
8365,185.74971641673744
8366,185.30929122430965
8370,185.8919420798117
8374,185.92571849755464
8378,185.5034050030256
8382,186.08230510960172
8388,186.1073852826206
8392,186.03802163276492
8398,186.56398635966585
8400,186.5102597657776
8406,186.4079806075892
8414,186.8359139331498
8418,186.7309404839575
8426,187.0609303000089
8428,187.0673581837496
8431,187.0135897751677
8443,187.20487310475363
8446,187.27876158908
8454,187.00883737309653
8459,187.55025398514732
8475,187.89398001253213
8480,187.846825104461
8516,190.3049165282547
8522,189.3423105156578
8528,189.6065941501582
8571,189.02259230660144
8588,189.22373829090503
8598,188.93409753221803
8603,189.04928598846843
8605,189.1025461111988
8634,188.3839503673481
8636,188.3937497420017
8640,188.6314543232193
8646,188.2808752941301
8667,187.60083818720872
8672,187.86400055695933
8673,187.77845693962863
8674,188.1863751907115
8675,188.0317096174956
8681,188.16006625972423
8682,187.8457166829664
8691,187.7631496988341
8696,188.64069050637772
8699,188.27518365318943
8700,188.2166909713348
8705,188.26909973134863
8708,188.3199455747419
8710,188.26716336082612
8711,188.40176965865507
8713,188.29568254761497
8714,188.35873487345745
8726,188.5219359525896
8734,188.513422985975
8738,189.2713529383219
8743,189.21423960405232
8744,189.0706033819116
8749,188.78093436279568
8817,190.18173074549432
8837,190.2822810645968
8843,191.41992446473205
8849,191.5341454395781
8862,191.9684790951153
8900,191.03048256568653
8932,191.26054511115564
8937,191.16850836464172
8947,191.0099402295979
8968,190.84382154292112
8975,190.5755528429244
8997,190.44104367941105
9008,190.46649545125587
9009,190.4056294161766
9016,189.592769924126
9029,190.02912377213988
9031,189.9406188654971
9049,190.2542736119604
9075,190.81802074178944
9098,190.5131621262412
9112,190.88992224271271
9117,190.9111685655144
9138,190.98769645296352
9148,191.33234198906885
9157,191.1318406229053
9159,191.1951347035908
9160,191.1239058168068
9192,191.2921273415939
9206,191.21183372111432
9214,191.73971905056072
9220,191.69709864355576
9248,192.05758285763272
9255,191.8298736682887
9260,193.37252715412183
9261,193.1497708218363
9264,193.78664989159867
9307,193.22421439332464
9333,192.58667503540897
9359,192.16835936990697
9415,191.8377760472684
9417,191.77893313907532
9425,191.3039171645146
9433,191.3145258234325
9451,191.1982490674945
9456,191.3904886392847
9461,191.8137210538804
9475,191.68384513184472
9484,192.17362898848464
9488,192.421673381973
9506,192.50346218986496
9509,192.65379834467348
9513,192.5583064959517
9522,192.10669440425585
9529,192.3961195967148
9531,192.3553282567724
9537,192.42701773806024
9555,192.73032114763143
9560,192.8067383102561
9569,192.9557743057404
9572,192.8213544381846
9590,193.27191004725748
9591,193.42040778251985
9598,193.42948090450795
9603,193.3458045645077
9622,195.6437929267764
9626,195.7701290331068
9635,195.2495084366868
9639,195.3818584650979
9650,194.9653468731533
9656,195.16722878248552
9657,195.060566799264
9670,194.92094272286687
9676,194.34133750707616
9686,194.2715506165792
9721,193.51124645006416
9725,193.47326532666088
9729,193.6642914463498
9730,193.58408521945145
9739,193.1110648822396
9748,193.2509408142408
9752,193.7832166853716
9759,193.1489564260409
9762,193.09911166681093
9773,194.1789121176589
9790,193.91543016440863
9796,194.7290356590432
9802,194.39595220369856
9804,194.1653777690057
9806,194.1876341488942
9812,194.5626358486201
9815,194.7885682281647
9817,194.7401408870484
9820,195.0683305613199
9827,195.12902536620945
9841,195.203186717245
9856,195.27180344679965
9866,195.61546400784647
9879,195.32010388115523
9891,195.68929116675727
9892,195.66210868560776
9893,195.6719893342244
9895,197.3565993633103
9898,197.34487105531304
9899,197.36474869620423
9902,197.3538534023517
9906,197.8434647454804
