object_tag,num_obj,Pr
5144.0,21.0,0.08977506015016527
5159.0,20.0,0.16933335022534443
5166.0,4.0,0.9300414547971209
5167.0,22.0,0.6504802171025754
5169.0,22.0,0.9119308505095168
5198.0,24.0,0.8520453642812701
5307.0,24.0,0.7735817908338624
5339.0,27.0,0.8633374284790233
5343.0,11.0,0.9753623087711834
5351.0,23.0,0.9214008445897692
5368.0,24.0,0.7793644725520484
5370.0,23.0,0.5396911606746728
5375.0,20.0,0.7050887411703054
5381.0,24.0,0.13633297956193968
5395.0,23.0,0.2356653815604052
5406.0,21.0,0.06703557754073879
5420.0,24.0,0.9045436043448588
5457.0,23.0,0.3913633392994324
5486.0,23.0,0.8275889418260353
5502.0,24.0,0.9694262639970319
5508.0,23.0,0.8815285511181116
5586.0,22.0,0.34419502898725246
5643.0,27.0,0.9871476373063275
5649.0,17.0,0.2347827215396565
5653.0,22.0,0.9784330066421535
5658.0,22.0,0.8547040156310282
5662.0,24.0,0.10074947075025248
5666.0,15.0,0.8953141807914585
5669.0,23.0,0.6940368267949539
5670.0,23.0,0.9763152108624074
5675.0,22.0,0.4414820895390068
5678.0,23.0,0.9258630936001022
5689.0,21.0,0.43508725825002736
5702.0,23.0,0.9374540991983581
5703.0,19.0,0.6257248525410172
5712.0,22.0,0.9136632232234222
5719.0,24.0,0.9887711249012983
5722.0,18.0,0.8500641143361495
5723.0,23.0,0.41987187546199484
5724.0,9.0,0.8366276350338855
5748.0,23.0,-0.6122790446005721
5761.0,22.0,0.8087202260819439
5771.0,18.0,0.16733855319384616
5793.0,20.0,0.7614995954587016
5796.0,20.0,0.42761513296720005
5800.0,21.0,0.9788156303785175
5802.0,17.0,0.8555243416337931
5812.0,21.0,0.9433696903962273
5862.0,24.0,0.5302602769181792
5864.0,8.0,0.7782901319767922
5887.0,24.0,0.9691927121438803
5894.0,24.0,0.9559552782749094
5916.0,22.0,0.9935689893930025
5921.0,5.0,0.6600086269554154
5926.0,22.0,0.1282278976777287
5927.0,22.0,0.9529670560121517
5928.0,22.0,0.7580318886374752
5939.0,22.0,0.8914635027460982
5951.0,17.0,0.7256647478269622
5967.0,21.0,0.9961611366019724
5981.0,19.0,0.8179222143476395
5991.0,23.0,0.8334307855495924
5994.0,23.0,0.9830404407746337
5998.0,23.0,0.9954513554395917
6022.0,17.0,0.16888935704617342
6028.0,24.0,0.8931926377236146
6032.0,20.0,0.9590113029594297
6036.0,18.0,0.5561746007119619
6039.0,16.0,0.32069732596719225
6067.0,22.0,0.7251898168169805
6078.0,21.0,-0.2615087362550405
6080.0,7.0,0.31890857846639764
6095.0,23.0,0.8613364810115623
6096.0,21.0,0.9649479299679945
6102.0,22.0,0.85308731245631
6114.0,10.0,0.09842938781002876
6122.0,19.0,0.57962218154548
6136.0,17.0,0.5254626475999149
6144.0,7.0,0.9303931091523504
6157.0,23.0,0.9802754592585914
6159.0,11.0,0.6696479756906798
6160.0,22.0,0.9615929689819419
6166.0,25.0,0.9259159757154467
6169.0,19.0,0.2197117569803578
6170.0,22.0,0.6880709374470528
6175.0,22.0,0.40375748846684
6181.0,19.0,0.2506849302293429
6193.0,6.0,0.8028374522222412
6194.0,22.0,0.30126715935126086
6201.0,22.0,0.6438533647244299
6209.0,21.0,-0.25344120184066016
6223.0,20.0,0.9869452109975415
6230.0,20.0,0.6398646310535441
6233.0,21.0,0.2709956070952606
6234.0,10.0,0.42532648746082
6237.0,6.0,-0.4439733981697956
6247.0,10.0,0.9882614122751531
6275.0,20.0,0.25971023174292934
6298.0,25.0,0.9220334995523386
6300.0,22.0,-0.006999820325939684
6314.0,22.0,0.7457108837612892
6321.0,22.0,0.4547841382360752
6332.0,24.0,0.44507974156268804
6334.0,22.0,0.9723743624402847
6357.0,15.0,0.7983662132442927
6383.0,21.0,0.5869928161969898
6392.0,20.0,-0.24717307210435932
6396.0,22.0,0.6529733898031347
6403.0,21.0,0.7221221977975452
6415.0,12.0,-0.008862154508989386
6423.0,22.0,0.9968481050438317
6427.0,24.0,0.8317795391247453
6442.0,21.0,0.9945738852550186
6445.0,24.0,0.9748975374494799
6459.0,23.0,0.9701921174534829
6472.0,22.0,0.06782719324253761
6487.0,7.0,0.29137983834777176
6522.0,16.0,0.5615918137675916
6525.0,22.0,0.982687583575771
6530.0,22.0,0.9966777086912534
6543.0,13.0,0.6954585447221246
6546.0,21.0,0.8658042387593645
6551.0,21.0,0.7324135921999709
6556.0,23.0,0.5507969007151405
6563.0,23.0,0.9675870043687369
6565.0,23.0,0.9422840180061866
6573.0,19.0,0.9002258116195594
6585.0,20.0,0.45283347584998224
6591.0,22.0,0.7163006450938496
6595.0,21.0,0.29496545485113024
6600.0,22.0,0.987062778450132
6619.0,19.0,0.38293431453894705
6633.0,22.0,0.7946247551600386
6664.0,19.0,0.3648675994083701
6666.0,8.0,0.992536101623629
