z,d_M,d_L
0.00783,32.5872,32.84236
0.00784,32.6287,32.88451
0.00785,32.67019,32.92665
0.00786,32.71168,32.96879
0.00787,32.75317,33.01094
0.00788,32.79466,33.05308
0.00789,32.83615,33.09523
0.0079,32.87764,33.13737
0.00791,32.91913,33.17952
0.00792,32.96062,33.22167
0.00793,33.00211,33.26382
0.00794,33.0436,33.30597
0.00795,33.08509,33.34812
0.00796,33.12658,33.39027
0.00797,33.16807,33.43242
0.00798,33.20956,33.47457
0.00799,33.25105,33.51672
0.008,33.29253,33.55888
0.00801,33.33402,33.60103
0.00802,33.37551,33.64318
0.00803,33.417,33.68534
0.00804,33.45849,33.72749
0.00805,33.49997,33.76965
0.00806,33.54146,33.81181
0.00807,33.58295,33.85397
0.00808,33.62444,33.89612
0.00809,33.66592,33.93828
0.0081,33.70741,33.98044
0.00811,33.7489,34.0226
0.00812,33.79038,34.06476
0.00813,33.83187,34.10692
0.00814,33.87336,34.14908
0.00815,33.91484,34.19125
0.00816,33.95633,34.23341
0.00817,33.99781,34.27557
0.00818,34.0393,34.31774
0.00819,34.08078,34.3599
0.0082,34.12226,34.40207
0.00821,34.16375,34.44424
0.00822,34.20523,34.4864
0.00823,34.24672,34.52857
0.00824,34.2882,34.57074
0.00825,34.32969,34.61291
0.00826,34.37117,34.65508
0.00827,34.41265,34.69725
0.00828,34.45414,34.73942
0.00829,34.49562,34.78159
0.0083,34.5371,34.82376
0.00831,34.57859,34.86593
0.00832,34.62007,34.90811
0.00833,34.66155,34.95028
0.00834,34.70303,34.99245
0.00835,34.74451,35.03463
0.00836,34.786,35.07681
0.00837,34.82748,35.11898
0.00838,34.86896,35.16116
0.00839,34.91044,35.20334
0.0084,34.95192,35.24552
0.00841,34.9934,35.2877
0.00842,35.03488,35.32988
0.00843,35.07636,35.37206
0.00844,35.11784,35.41424
0.00845,35.15932,35.45642
0.00846,35.2008,35.4986
0.00847,35.24228,35.54079
0.00848,35.28376,35.58297
0.00849,35.32524,35.62515
0.0085,35.36672,35.66734
0.00851,35.4082,35.70952
0.00852,35.44968,35.75171
0.00853,35.49116,35.7939
0.00854,35.53263,35.83608
0.00855,35.57411,35.87827
0.00856,35.61559,35.92046
0.00857,35.65707,35.96265
0.00858,35.69855,36.00484
0.00859,35.74002,36.04703
0.0086,35.7815,36.08922
0.00861,35.82298,36.13141
0.00862,35.86446,36.17361
0.00863,35.90593,36.2158
0.00864,35.94741,36.258
0.00865,35.98888,36.30019
0.00866,36.03036,36.34238
0.00867,36.07183,36.38458
0.00868,36.11331,36.42678
0.00869,36.15479,36.46897
